destination_id,destination_name,district,province,category,travel_type,activities,description,semantic_text
19,Mustang (Upper Mustang),Mustang,Gandaki,Cultural,"Adventure,Cultural,Nature","Trekking,Cultural Tour,Photography",Remote trans-Himalayan kingdom with arid landscapes,Mustang (Upper Mustang). Remote trans-Himalayan kingdom with arid landscapes
20,Bandipur,Tanahun,Gandaki,Hill Station,"Cultural,Family,Nature","Sightseeing,Hiking,Photography",Charming hilltop Newar town preserving traditional architecture with panoramic Himalayan and valley views.,Bandipur. Charming hilltop Newar town preserving traditional architecture with panoramic Himalayan and valley views.
21,Ilam Tea Gardens,Ilam,Koshi,Hill Station,"Nature,Family,Cultural","Tea Garden Tour,Hiking,Photography",Lush rolling tea estates in eastern Nepal offering scenic walks and insight into Nepal's tea production heritage.,Ilam Tea Gardens. Lush rolling tea estates in eastern Nepal offering scenic walks and insight into Nepal's tea production heritage.
22,Pathibhara Devi Temple,Taplejung,Koshi,Religious,"Religious,Adventure,Nature","Pilgrimage,Trekking,Photography",Revered Hindu temple atop a scenic ridge in eastern Nepal,Pathibhara Devi Temple. Revered Hindu temple atop a scenic ridge in eastern Nepal
23,Kanchenjunga Base Camp,Taplejung,Koshi,Trekking,"Adventure,Nature","Trekking,Camping,Mountaineering",Remote trek to the world's third-highest peak through pristine forests and traditional Limbu villages.,Kanchenjunga Base Camp. Remote trek to the world's third-highest peak through pristine forests and traditional Limbu villages.
24,Bardia National Park,Bardiya,Lumbini,National Park,"Nature,Adventure,Family","Jungle Safari,Canoeing,Bird Watching",Nepal's largest wilderness national park,Bardia National Park. Nepal's largest wilderness national park
25,Shuklaphanta National Park,Kanchanpur,Sudurpashchim,National Park,"Nature,Adventure","Jungle Safari,Bird Watching,Wildlife Photography",Grassland reserve in the far west famous for swamp deer herds and rich biodiversity in the Terai region.,Shuklaphanta National Park. Grassland reserve in the far west famous for swamp deer herds and rich biodiversity in the Terai region.
26,Khaptad National Park,Bajhang,Sudurpashchim,National Park,"Nature,Religious,Adventure","Trekking,Pilgrimage,Camping",Tranquil plateau national park blending alpine meadows,Khaptad National Park. Tranquil plateau national park blending alpine meadows
27,Tilicho Lake,Manang,Gandaki,Lake,"Adventure,Nature","Trekking,Camping,Photography",One of the world's highest lakes,Tilicho Lake. One of the world's highest lakes
28,Manang Valley,Manang,Gandaki,Trekking,"Adventure,Cultural,Nature","Trekking,Acclimatization,Cultural Tour",Picturesque high-altitude valley along the Annapurna Circuit known for Tibetan-influenced culture and dramatic scenery.,Manang Valley. Picturesque high-altitude valley along the Annapurna Circuit known for Tibetan-influenced culture and dramatic scenery.
29,Thorong La Pass,Manang,Gandaki,Trekking,"Adventure,Nature","Trekking,Mountaineering",High mountain pass on the Annapurna Circuit,Thorong La Pass. High mountain pass on the Annapurna Circuit
30,Dhulikhel,Kavrepalanchok,Bagmati,Hill Station,"Nature,Family,Adventure","Sunrise Viewing,Hiking,Photography",Quiet hill town near Kathmandu offering stunning Himalayan panoramas and pleasant short hiking trails.,Dhulikhel. Quiet hill town near Kathmandu offering stunning Himalayan panoramas and pleasant short hiking trails.
31,Namobuddha,Kavrepalanchok,Bagmati,Religious,"Religious,Cultural,Family","Pilgrimage,Monastery Tour,Hiking",Sacred Buddhist pilgrimage site marking where Buddha sacrificed himself to a starving tigress,Namobuddha. Sacred Buddhist pilgrimage site marking where Buddha sacrificed himself to a starving tigress
32,Janakpur (Janaki Mandir),Dhanusha,Madhesh,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Cultural Tour",Sacred city and birthplace of Sita,Janakpur (Janaki Mandir). Sacred city and birthplace of Sita
33,Halesi Mahadev,Khotang,Koshi,Religious,"Religious,Adventure,Cultural","Pilgrimage,Cave Exploration,Hiking",Sacred limestone cave temple revered by both Hindus and Buddhists,Halesi Mahadev. Sacred limestone cave temple revered by both Hindus and Buddhists
34,Pokhara Cave (Mahendra Gupha),Kaski,Gandaki,Cave,"Nature,Family,Adventure","Cave Exploration,Photography",Limestone cave near Pokhara featuring stalactite and stalagmite formations within a serene natural setting.,Pokhara Cave (Mahendra Gupha). Limestone cave near Pokhara featuring stalactite and stalagmite formations within a serene natural setting.
35,Davis Falls,Kaski,Gandaki,Waterfall,"Nature,Family","Sightseeing,Photography",Distinctive waterfall in Pokhara that vanishes underground into a mysterious gorge,Davis Falls. Distinctive waterfall in Pokhara that vanishes underground into a mysterious gorge
36,Begnas Lake,Kaski,Gandaki,Lake,"Nature,Family,Adventure","Boating,Fishing,Hiking",Quieter alternative to Phewa Lake,Begnas Lake. Quieter alternative to Phewa Lake
37,Muktinath Temple,Mustang,Gandaki,Religious,"Religious,Adventure,Cultural","Pilgrimage,Trekking,Photography",Sacred temple revered by both Hindus and Buddhists,Muktinath Temple. Sacred temple revered by both Hindus and Buddhists
38,Sundarijal,Kathmandu,Bagmati,Waterfall,"Nature,Family,Adventure","Hiking,Photography,Picnicking",Scenic waterfall and hiking gateway on the edge of Kathmandu Valley leading toward Shivapuri National Park.,Sundarijal. Scenic waterfall and hiking gateway on the edge of Kathmandu Valley leading toward Shivapuri National Park.
39,Shivapuri National Park,Kathmandu,Bagmati,National Park,"Nature,Adventure,Family","Hiking,Bird Watching,Camping",Forested national park bordering Kathmandu,Shivapuri National Park. Forested national park bordering Kathmandu
40,Daman,Makwanpur,Bagmati,Hill Station,"Nature,Family","Sunrise Viewing,Photography,Hiking",Elevated hill station along the Tribhuvan Highway offering one of the widest Himalayan panoramas in Nepal.,Daman. Elevated hill station along the Tribhuvan Highway offering one of the widest Himalayan panoramas in Nepal.
41,Manakamana Temple,Gorkha,Gandaki,Religious,"Religious,Cultural,Family","Pilgrimage,Cable Car Ride,Photography",Hilltop temple dedicated to a wish-fulfilling goddess,Manakamana Temple. Hilltop temple dedicated to a wish-fulfilling goddess
42,Gorkha Durbar,Gorkha,Gandaki,Heritage,"Cultural,Heritage,Religious","Sightseeing,Pilgrimage,Photography",Historic hilltop palace and birthplace of Nepal's unification,Gorkha Durbar. Historic hilltop palace and birthplace of Nepal's unification
43,Lake Phoksundo,Dolpa,Karnali,Lake,"Nature,Adventure","Trekking,Camping,Photography",Stunning turquoise glacial lake within Shey Phoksundo National Park,Lake Phoksundo. Stunning turquoise glacial lake within Shey Phoksundo National Park
44,Tansen,Palpa,Lumbini,Hill Station,"Cultural,Nature,Family","Sightseeing,Hiking,Photography",Historic Newar hill town known for its palace remains,Tansen. Historic Newar hill town known for its palace remains
45,Khokana,Lalitpur,Bagmati,Cultural,"Cultural,Heritage,Family","Sightseeing,Cultural Tour,Photography",Traditional Newar village renowned for mustard oil production and well-preserved cultural heritage.,Khokana. Traditional Newar village renowned for mustard oil production and well-preserved cultural heritage.
46,Panauti,Kavrepalanchok,Bagmati,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Festival Visit",Ancient Newar town at the confluence of two rivers,Panauti. Ancient Newar town at the confluence of two rivers
47,Ghandruk,Kaski,Gandaki,Trekking,"Adventure,Cultural,Nature","Trekking,Cultural Tour,Photography",Picturesque Gurung village on the Annapurna trail offering rich culture and close-up Himalayan mountain views.,Ghandruk. Picturesque Gurung village on the Annapurna trail offering rich culture and close-up Himalayan mountain views.
48,Pikey Peak,Solukhumbu,Koshi,Trekking,"Adventure,Nature","Trekking,Camping,Sunrise Viewing",Lesser-known viewpoint trek offering one of the widest Himalayan panoramas including Everest,Pikey Peak. Lesser-known viewpoint trek offering one of the widest Himalayan panoramas including Everest
49,Dhampus,Kaski,Gandaki,Hill Station,"Nature,Family,Adventure","Hiking,Photography,Village Tour",Accessible hillside village near Pokhara offering close mountain views and an easy introduction to Himalayan trekking.,Dhampus. Accessible hillside village near Pokhara offering close mountain views and an easy introduction to Himalayan trekking.
50,Kakani,Nuwakot,Bagmati,Hill Station,"Nature,Family","Sightseeing,Hiking,Photography",Quiet hill resort near Kathmandu known for terraced landscapes and clear views of the Ganesh Himal range.,Kakani. Quiet hill resort near Kathmandu known for terraced landscapes and clear views of the Ganesh Himal range.
51,Khotang Diktel,Khotang,Koshi,Cultural,"Culture,Family","Sightseeing,Local Culture,Photography","District headquarters of Khotang known for its peaceful hills, local Rai culture, and scenic landscapes.","Khotang Diktel. District headquarters of Khotang known for its peaceful hills, local Rai culture, and scenic landscapes."
52,Bhulbhule,Khotang,Koshi,Village,"Nature,Culture","Village Walk,Hiking,Photography","A quiet rural village surrounded by green hills, offering traditional lifestyles and beautiful countryside views.","Bhulbhule. A quiet rural village surrounded by green hills, offering traditional lifestyles and beautiful countryside views."
53,Nerpa Village,Khotang,Koshi,Village,"Culture,Nature","Cultural Tour,Hiking,Photography","A traditional Rai settlement famous for its rich heritage, terraced farms, and welcoming local community.","Nerpa Village. A traditional Rai settlement famous for its rich heritage, terraced farms, and welcoming local community."
54,Bhedetar,Dhankuta,Koshi,Hill Station,"Nature,Adventure,Family","Sightseeing,Paragliding,Photography","A popular hill station offering cool weather, panoramic mountain views, and the famous Charles Point viewpoint.","Bhedetar. A popular hill station offering cool weather, panoramic mountain views, and the famous Charles Point viewpoint."
55,Hile,Dhankuta,Koshi,Hill Station,"Nature,Family","Sightseeing,Local Food,Photography","A scenic stop known for its cool climate, beautiful landscapes, and locally produced churpi cheese.","Hile. A scenic stop known for its cool climate, beautiful landscapes, and locally produced churpi cheese."
56,Koshi Tappu Wildlife Reserve,Sunsari/Saptari/Udayapur,Koshi,Wildlife Reserve,"Nature,Adventure","Bird Watching,Wildlife Safari,Photography","Nepal's premier wetland reserve famous for migratory birds, wild water buffalo, and rich biodiversity.","Koshi Tappu Wildlife Reserve. Nepal's premier wetland reserve famous for migratory birds, wild water buffalo, and rich biodiversity."
57,Shree Antu,Ilam,Koshi,Viewpoint,"Nature,Family","Sunrise Viewing,Hiking,Photography",A beautiful hilltop destination renowned for spectacular sunrise views and surrounding tea gardens.,Shree Antu. A beautiful hilltop destination renowned for spectacular sunrise views and surrounding tea gardens.
58,Makalu Barun National Park,Sankhuwasabha,Koshi,National Park,"Adventure,Nature","Trekking,Camping,Wildlife Viewing","A remote protected area featuring Mount Makalu, diverse wildlife, alpine forests, and challenging trekking routes.","Makalu Barun National Park. A remote protected area featuring Mount Makalu, diverse wildlife, alpine forests, and challenging trekking routes."
59,Sagarmatha National Park,Solukhumbu,Koshi,National Park,"Adventure,Nature","Trekking,Mountain Viewing,Photography","UNESCO World Heritage Site home to Mount Everest, glaciers, Sherpa culture, and the famous Everest Base Camp trail.","Sagarmatha National Park. UNESCO World Heritage Site home to Mount Everest, glaciers, Sherpa culture, and the famous Everest Base Camp trail."
60,Suketar,Taplejung,Koshi,Village,"Adventure,Cultural","Trekking,Village Walk,Homestay Experience",Airport hub and gateway village with community homestays,Suketar. Airport hub and gateway village with community homestays
61,Syamdo Lake,Taplejung,Koshi,Lake,"Adventure,Nature","Trekking,Camping,Photography","Newly explored alpine lake at 5,200m in Faktanglung","Syamdo Lake. Newly explored alpine lake at 5,200m in Faktanglung"
62,Fungling Bazaar,Taplejung,Koshi,Cultural,"Cultural,Family","Sightseeing,Local Culture,Shopping",The primary cultural and commercial district headquarters,Fungling Bazaar. The primary cultural and commercial district headquarters
63,Kanchenjunga Base Camp (Pangpema),Taplejung,Koshi,Trekking,"Adventure,Nature","Trekking,Camping,Mountaineering",High-altitude extreme north alpine site,Kanchenjunga Base Camp (Pangpema). High-altitude extreme north alpine site
64,Olangchung Gola,Taplejung,Koshi,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography","Remote, historic Walung/Sherpa trade village near Tibet border","Olangchung Gola. Remote, historic Walung/Sherpa trade village near Tibet border"
65,Timbung Pokhari,Taplejung,Koshi,Lake,"Adventure,Nature","Trekking,Camping,Bird Watching","Sacred high-altitude lake cluster, rich biodiversity","Timbung Pokhari. Sacred high-altitude lake cluster, rich biodiversity"
66,Ghuna Village,Taplejung,Koshi,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography",Traditional Sherpa settlement along the Kanchenjunga trail,Ghuna Village. Traditional Sherpa settlement along the Kanchenjunga trail
67,Amjilosa,Taplejung,Koshi,Village,"Adventure,Nature","Trekking,Homestay Experience,Photography",Charming river-valley trekking stop with local homestay potential,Amjilosa. Charming river-valley trekking stop with local homestay potential
68,Gyabla Village,Taplejung,Koshi,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography",Dense high-forest Tibetan-Buddhist cultural settlement,Gyabla Village. Dense high-forest Tibetan-Buddhist cultural settlement
69,Sinuwa Village,Taplejung,Koshi,Village,"Adventure,Cultural","Trekking,Village Walk,Photography",Lower-altitude agricultural and cultural village,Sinuwa Village. Lower-altitude agricultural and cultural village
70,Mitlung,Taplejung,Koshi,Village,"Adventure,Nature","Trekking,Photography,River Walk",Scenic river basin village on the Tamor River,Mitlung. Scenic river basin village on the Tamor River
71,Chhiruwa,Taplejung,Koshi,Village,"Cultural,Nature","Cultural Tour,Farming Tour,Photography",Limbu cultural settlement featuring cardamom farming,Chhiruwa. Limbu cultural settlement featuring cardamom farming
72,Phale Village,Taplejung,Koshi,Village,"Cultural,Adventure","Trekking,Cultural Tour,Handicraft Shopping",Tibetan refugee settlement known for local hand-woven rugs,Phale Village. Tibetan refugee settlement known for local hand-woven rugs
73,Lelep,Taplejung,Koshi,Cultural,"Adventure,Cultural","Trekking,Conservation Office Visit,Photography",Headquarters of the Kanchenjunga Conservation Area,Lelep. Headquarters of the Kanchenjunga Conservation Area
74,Antu Danda,Ilam,Koshi,Viewpoint,"Nature,Family","Sunrise Viewing,Photography,Homestay Experience",Famous for epic sunrises over Kanchenjunga; premier homestays,Antu Danda. Famous for epic sunrises over Kanchenjunga; premier homestays
75,Kanyam Tea Estate,Ilam,Koshi,Tea Estate,"Nature,Family,Cultural","Tea Garden Tour,Photography,Walking","The most photographed, sprawling green tea hills in East Nepal","Kanyam Tea Estate. The most photographed, sprawling green tea hills in East Nepal"
76,Mai Pokhari,Ilam,Koshi,Lake,"Nature,Religious,Family","Sightseeing,Pilgrimage,Photography",Sacred nine-cornered star lake; Ramsar wetland site,Mai Pokhari. Sacred nine-cornered star lake; Ramsar wetland site
77,Sandakphu,Ilam,Koshi,Viewpoint,"Adventure,Nature","Trekking,Sunrise Viewing,Photography","Highest ridge point at 3,636m sharing a border with India","Sandakphu. Highest ridge point at 3,636m sharing a border with India"
78,Fikkal Bazaar,Ilam,Koshi,Bazaar,"Cultural,Family","Shopping,Local Food,Sightseeing","Lively, multi-cultural trade hub for tea, cardamom, and ginger","Fikkal Bazaar. Lively, multi-cultural trade hub for tea, cardamom, and ginger"
79,Chintapu,Ilam,Koshi,Hill Station,"Nature,Family","Hiking,Photography,Herb Walk",Rich natural hill famous for herbs and rhododendrons,Chintapu. Rich natural hill famous for herbs and rhododendrons
80,Gajurmukhi,Ilam,Koshi,Religious,"Religious,Cultural","Pilgrimage,Cave Exploration,Photography",Religious riverside shrine cave built into steep cliffs,Gajurmukhi. Religious riverside shrine cave built into steep cliffs
81,Siddhi Thumka,Ilam,Koshi,Hill Station,"Nature,Family","Sunset Viewing,Photography,Picnicking",Hill station renowned for panoramic sunset views,Siddhi Thumka. Hill station renowned for panoramic sunset views
82,Todke Waterfall,Ilam,Koshi,Waterfall,"Nature,Family","Sightseeing,Photography,Picnicking","Massive, cascading 85-meter natural waterfall","Todke Waterfall. Massive, cascading 85-meter natural waterfall"
83,Mangmalung,Ilam,Koshi,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Ancient Kirat religious site with historic stone structures,Mangmalung. Ancient Kirat religious site with historic stone structures
84,Ilam Bazaar,Ilam,Koshi,Cultural,"Cultural,Family","Sightseeing,Shopping,Local Food",Historic hill town with cobblestone pathways and tea shops,Ilam Bazaar. Historic hill town with cobblestone pathways and tea shops
85,Larumba,Ilam,Koshi,Religious,"Religious,Cultural","Pilgrimage,Cultural Observation,Photography",Spiritual epicenter of the Kirat religion/Mangsebung,Larumba. Spiritual epicenter of the Kirat religion/Mangsebung
86,Pashupatinagar,Ilam,Koshi,Cultural,"Cultural,Family","Sightseeing,Local Food,Shopping",Border town blending Nepali and Darjeeling cultures,Pashupatinagar. Border town blending Nepali and Darjeeling cultures
87,Hanspokhari,Ilam,Koshi,Lake,"Nature,Family","Sightseeing,Photography,Picnicking",Scenic natural pond along the Mechi Highway corridor,Hanspokhari. Scenic natural pond along the Mechi Highway corridor
88,Shanti Thumka,Ilam,Koshi,Viewpoint,"Nature,Family","Sightseeing,Photography,Farm Tour",Quiet viewpoint ridge ideal for agro-tourism data points,Shanti Thumka. Quiet viewpoint ridge ideal for agro-tourism data points
89,Namje Village,Dhankuta,Koshi,Village,"Cultural,Family","Cultural Tour,Dance Performance,Homestay Experience",World-renowned Magar community homestay hub; Hurra dance,Namje Village. World-renowned Magar community homestay hub; Hurra dance
90,Namaste Jharna,Dhankuta,Koshi,Waterfall,"Nature,Family","Sightseeing,Photography,Picnicking",Imposing 80-meter waterfall located in Simsuwa,Namaste Jharna. Imposing 80-meter waterfall located in Simsuwa
91,Hile Bazaar,Dhankuta,Koshi,Bazaar,"Nature,Family","Sightseeing,Local Food,Photography",Famous high-ridge town known for Tongba and cold climates,Hile Bazaar. Famous high-ridge town known for Tongba and cold climates
92,Pakhribas,Dhankuta,Koshi,Cultural,"Nature,Family","Sightseeing,Picnicking,Farm Tour",Agricultural research hub with pine forests and picnic grounds,Pakhribas. Agricultural research hub with pine forests and picnic grounds
93,Chintang Devi Temple (Jalpa Devi),Dhankuta,Koshi,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Deeply spiritual Kirat and Hindu shrine,Chintang Devi Temple (Jalpa Devi). Deeply spiritual Kirat and Hindu shrine
94,Dhankuta Bazaar,Dhankuta,Koshi,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Local Food",Historic Newari-style architecture and orange orchards,Dhankuta Bazaar. Historic Newari-style architecture and orange orchards
95,Rajarani Lake (Rani Pokhari),Dhankuta,Koshi,Lake,"Nature,Family","Boating,Photography,Picnicking",Serene wetland valley perfect for canoeing,Rajarani Lake (Rani Pokhari). Serene wetland valley perfect for canoeing
96,Danje Hill,Dhankuta,Koshi,Viewpoint,"Adventure,Nature","Hiking,Photography,Mountain Viewing",Lesser-known high ridge trail offering views of Makalu,Danje Hill. Lesser-known high ridge trail offering views of Makalu
97,Hattikharka,Dhankuta,Koshi,Village,"Cultural,Family","Village Walk,Local Culture,Photography",Indigenous village experiencing a surge in domestic weekend tourism,Hattikharka. Indigenous village experiencing a surge in domestic weekend tourism
98,Mulghat,Dhankuta,Koshi,River,"Adventure,Nature","Rafting,Photography,Fishing",Warm riverside hub along the Tamor River; rafting launching point,Mulghat. Warm riverside hub along the Tamor River; rafting launching point
99,Muga Village,Dhankuta,Koshi,Heritage,"Cultural,Heritage","Sightseeing,Photography,Cultural Tour",Historic ancestral village with traditional estate architecture,Muga Village. Historic ancestral village with traditional estate architecture
100,Bishranti Temple,Dhankuta,Koshi,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Spiritual elderly home and temple complex on the Tamor bank,Bishranti Temple. Spiritual elderly home and temple complex on the Tamor bank
101,Sankuwa Sabrag,Dhankuta,Koshi,Village,"Cultural,Nature","Farm Tour,Cultural Tour,Photography",Rural community node featuring rich agricultural tourism,Sankuwa Sabrag. Rural community node featuring rich agricultural tourism
102,Jorpatali,Dhankuta,Koshi,Viewpoint,"Nature,Family","Picnicking,Photography,Hiking",Scenic rest stop surrounded by dense mid-hill pine trees,Jorpatali. Scenic rest stop surrounded by dense mid-hill pine trees
103,Koshi Tappu Wildlife Reserve,Sunsari,Koshi,Wildlife Reserve,"Nature,Adventure","Bird Watching,Wildlife Safari,Photography",Ramsar wetland; habitat of the rare Wild Water Buffalo,Koshi Tappu Wildlife Reserve. Ramsar wetland; habitat of the rare Wild Water Buffalo
104,Prakashpur Village,Sunsari,Koshi,Village,"Cultural,Nature","Homestay Experience,Cultural Tour,Bird Watching",Gateway to Koshi Tappu; ideal for indigenous Tharu homestays,Prakashpur Village. Gateway to Koshi Tappu; ideal for indigenous Tharu homestays
105,Barahakshetra Dham,Sunsari,Koshi,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Photography","One of Nepal's oldest, most sacred Hindu pilgrimage sites","Barahakshetra Dham. One of Nepal's oldest, most sacred Hindu pilgrimage sites"
106,Budhasubba Temple,Sunsari,Koshi,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Photography",Famous temple in Dharan known for its unique tip-less bamboo,Budhasubba Temple. Famous temple in Dharan known for its unique tip-less bamboo
107,Dantakali Temple,Sunsari,Koshi,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Photography",Ancient Shakti Peeth where Sati Devi's teeth are mythologically said to have fallen,Dantakali Temple. Ancient Shakti Peeth where Sati Devi's teeth are mythologically said to have fallen
108,Pindeshwor Temple,Sunsari,Koshi,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Photography",Holy Shiva temple where oil lamps burn continuously,Pindeshwor Temple. Holy Shiva temple where oil lamps burn continuously
109,Vijayapur Hill,Sunsari,Koshi,Hill Station,"Nature,Heritage,Family","Sightseeing,Hiking,Photography",Historic administrative center of the ancient Sen kings,Vijayapur Hill. Historic administrative center of the ancient Sen kings
110,Chatara Dham,Sunsari,Koshi,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Festival Visit",Riverside religious site; host of the grand Kumbha Mela,Chatara Dham. Riverside religious site; host of the grand Kumbha Mela
111,Itahari,Sunsari,Koshi,Cultural,"Cultural,Family","Sightseeing,Shopping,Local Food",Bustling transport junction and rapidly growing commercial hub,Itahari. Bustling transport junction and rapidly growing commercial hub
112,Inaruwa,Sunsari,Koshi,Cultural,"Cultural,Family","Sightseeing,Local Food,Shopping",District headquarters situated amidst fertile agrarian Terai plains,Inaruwa. District headquarters situated amidst fertile agrarian Terai plains
113,Koshi Barrage,Sunsari,Koshi,Landmark,"Nature,Family","Sightseeing,Photography,Bird Watching",Engineering landmark across the massive Sapta Koshi River,Koshi Barrage. Engineering landmark across the massive Sapta Koshi River
114,Madhuban,Sunsari,Koshi,Village,"Nature,Cultural","Bird Watching,Fishing,Photography",Rural community specializing in wetland fishing cultures and birding,Madhuban. Rural community specializing in wetland fishing cultures and birding
115,Seuti River Bank,Sunsari,Koshi,River,"Nature,Family","Sightseeing,Photography,Picnicking",Scenic forest fringes surrounding the base of the Dharan hills,Seuti River Bank. Scenic forest fringes surrounding the base of the Dharan hills
116,Taltalaiya,Sunsari,Koshi,Eco Park,"Nature,Family","Boating,Sightseeing,Photography",Eco-park wetland area with boating facilities and wildlife statues,Taltalaiya. Eco-park wetland area with boating facilities and wildlife statues
117,Tarahara,Sunsari,Koshi,Cultural,"Cultural,Family","Sightseeing,Local Food,Farm Visit",Noted for its agricultural research farms and rural food stalls,Tarahara. Noted for its agricultural research farms and rural food stalls
118,Basantapur,Tehrathum,Koshi,Hill Station,"Adventure,Nature","Trekking,Sightseeing,Photography",High hill station; starting point of the legendary TMJ trek,Basantapur. High hill station; starting point of the legendary TMJ trek
