destination_name,district,province,duration_days,budget_npr,category,activities,difficulty_level,description
Fungling Bazaar,Taplejung,Koshi,1,6000,Cultural,"Sightseeing, Local Culture, Shopping",easy,The primary cultural and commercial district headquarters
Kanchenjunga Base Camp (Pangpema),Taplejung,Koshi,18,70000,Trekking,"Trekking, Camping, Mountaineering",difficult,High-altitude extreme north alpine site
Olangchung Gola,Taplejung,Koshi,8,40000,Village,"Trekking, Cultural Tour, Photography",difficult,"Remote, historic Walung/Sherpa trade village near Tibet border"
Timbung Pokhari,Taplejung,Koshi,9,42000,Lake,"Trekking, Camping, Bird Watching",difficult,"Sacred high-altitude lake cluster, rich biodiversity"
Ghuna Village,Taplejung,Koshi,7,35000,Village,"Trekking, Cultural Tour, Photography",difficult,Traditional Sherpa settlement along the Kanchenjunga trail
Amjilosa,Taplejung,Koshi,6,30000,Village,"Trekking, Homestay Experience, Photography",moderate,Charming river-valley trekking stop with local homestay potential
Gyabla Village,Taplejung,Koshi,6,32000,Village,"Trekking, Cultural Tour, Photography",moderate,Dense high-forest Tibetan-Buddhist cultural settlement
Sinuwa Village,Taplejung,Koshi,5,28000,Village,"Trekking, Village Walk, Photography",moderate,Lower-altitude agricultural and cultural village
Mitlung,Taplejung,Koshi,3,20000,Village,"Trekking, Photography, River Walk",moderate,Scenic river basin village on the Tamor River
Chhiruwa,Taplejung,Koshi,3,18000,Village,"Cultural Tour, Farming Tour, Photography",moderate,Limbu cultural settlement featuring cardamom farming
Phale Village,Taplejung,Koshi,4,25000,Village,"Trekking, Cultural Tour, Handicraft Shopping",moderate,Tibetan refugee settlement known for local hand-woven rugs
Lelep,Taplejung,Koshi,3,22000,Cultural,"Trekking, Conservation Office Visit, Photography",moderate,Headquarters of the Kanchenjunga Conservation Area
Antu Danda,Ilam,Koshi,2,6000,Viewpoint,"Sunrise Viewing, Photography, Homestay Experience",easy,Famous for epic sunrises over Kanchenjunga; premier homestays
Kanyam Tea Estate,Ilam,Koshi,1,4000,Tea Estate,"Tea Garden Tour, Photography, Walking",easy,"The most photographed, sprawling green tea hills in East Nepal"
Mai Pokhari,Ilam,Koshi,1,3500,Lake,"Sightseeing, Pilgrimage, Photography",easy,Sacred nine-cornered star lake; Ramsar wetland site
Sandakphu,Ilam,Koshi,4,15000,Viewpoint,"Trekking, Sunrise Viewing, Photography",moderate,"Highest ridge point at 3,636m sharing a border with India"
Fikkal Bazaar,Ilam,Koshi,1,2500,Bazaar,"Shopping, Local Food, Sightseeing",easy,"Lively, multi-cultural trade hub for tea, cardamom, and ginger"
Chintapu,Ilam,Koshi,1,3000,Hill Station,"Hiking, Photography, Herb Walk",easy,Rich natural hill famous for herbs and rhododendrons
Gajurmukhi,Ilam,Koshi,1,2500,Religious,"Pilgrimage, Cave Exploration, Photography",moderate,Religious riverside shrine cave built into steep cliffs
Siddhi Thumka,Ilam,Koshi,1,2800,Hill Station,"Sunset Viewing, Photography, Picnicking",easy,Hill station renowned for panoramic sunset views
Todke Waterfall,Ilam,Koshi,1,2000,Waterfall,"Sightseeing, Photography, Picnicking",easy,"Massive, cascading 85-meter natural waterfall"
Mangmalung,Ilam,Koshi,1,3000,Religious,"Pilgrimage, Sightseeing, Photography",easy,Ancient Kirat religious site with historic stone structures
Ilam Bazaar,Ilam,Koshi,1,3500,Cultural,"Sightseeing, Shopping, Local Food",easy,Historic hill town with cobblestone pathways and tea shops
Larumba,Ilam,Koshi,1,2500,Religious,"Pilgrimage, Cultural Observation, Photography",easy,Spiritual epicenter of the Kirat religion/Mangsebung
Pashupatinagar,Ilam,Koshi,1,4000,Cultural,"Sightseeing, Local Food, Shopping",easy,Border town blending Nepali and Darjeeling cultures
Hanspokhari,Ilam,Koshi,1,2000,Lake,"Sightseeing, Photography, Picnicking",easy,Scenic natural pond along the Mechi Highway corridor
Shanti Thumka,Ilam,Koshi,1,2500,Viewpoint,"Sightseeing, Photography, Farm Tour",easy,Quiet viewpoint ridge ideal for agro-tourism data points
Namje Village,Dhankuta,Koshi,2,6000,Village,"Cultural Tour, Dance Performance, Homestay Experience",easy,World-renowned Magar community homestay hub; Hurra dance
Namaste Jharna,Dhankuta,Koshi,1,2500,Waterfall,"Sightseeing, Photography, Picnicking",moderate,Imposing 80-meter waterfall located in Simsuwa
Hile Bazaar,Dhankuta,Koshi,1,4500,Bazaar,"Sightseeing, Local Food, Photography",easy,Famous high-ridge town known for Tongba and cold climates
Pakhribas,Dhankuta,Koshi,1,3000,Cultural,"Sightseeing, Picnicking, Farm Tour",easy,Agricultural research hub with pine forests and picnic grounds
Chintang Devi Temple (Jalpa Devi),Dhankuta,Koshi,1,2500,Religious,"Pilgrimage, Sightseeing, Photography",easy,Deeply spiritual Kirat and Hindu shrine
Dhankuta Bazaar,Dhankuta,Koshi,1,2500,Heritage,"Sightseeing, Photography, Local Food",easy,Historic Newari-style architecture and orange orchards
Rajarani Lake (Rani Pokhari),Dhankuta,Koshi,1,2000,Lake,"Boating, Photography, Picnicking",easy,Serene wetland valley perfect for canoeing
Danje Hill,Dhankuta,Koshi,1,3500,Viewpoint,"Hiking, Photography, Mountain Viewing",moderate,Lesser-known high ridge trail offering views of Makalu
Hattikharka,Dhankuta,Koshi,1,3500,Village,"Village Walk, Local Culture, Photography",easy,Indigenous village experiencing a surge in domestic weekend tourism
Mulghat,Dhankuta,Koshi,1,4000,River,"Rafting, Photography, Fishing",moderate,Warm riverside hub along the Tamor River; rafting launching point
Muga Village,Dhankuta,Koshi,1,2500,Heritage,"Sightseeing, Photography, Cultural Tour",easy,Historic ancestral village with traditional estate architecture
Bishranti Temple,Dhankuta,Koshi,1,2000,Religious,"Pilgrimage, Sightseeing, Photography",easy,Spiritual elderly home and temple complex on the Tamor bank
Sankuwa Sabrag,Dhankuta,Koshi,1,3000,Village,"Farm Tour, Cultural Tour, Photography",easy,Rural community node featuring rich agricultural tourism
Jorpatali,Dhankuta,Koshi,1,2500,Viewpoint,"Picnicking, Photography, Hiking",easy,Scenic rest stop surrounded by dense mid-hill pine trees
Koshi Tappu Wildlife Reserve,Sunsari,Koshi,2,12000,Wildlife Reserve,"Bird Watching, Wildlife Safari, Photography",easy,Ramsar wetland; habitat of the rare Wild Water Buffalo
Prakashpur Village,Sunsari,Koshi,2,7000,Village,"Homestay Experience, Cultural Tour, Bird Watching",easy,Gateway to Koshi Tappu; ideal for indigenous Tharu homestays
Barahakshetra Dham,Sunsari,Koshi,1,3000,Religious,"Pilgrimage, Sightseeing, Photography",easy,"One of Nepal's oldest, most sacred Hindu pilgrimage sites"
Budhasubba Temple,Sunsari,Koshi,1,1500,Religious,"Pilgrimage, Sightseeing, Photography",easy,Famous temple in Dharan known for its unique tip-less bamboo
Dantakali Temple,Sunsari,Koshi,1,1500,Religious,"Pilgrimage, Sightseeing, Photography",easy,Ancient Shakti Peeth where Sati Devi's teeth are mythologically said to have fallen
Pindeshwor Temple,Sunsari,Koshi,1,1500,Religious,"Pilgrimage, Sightseeing, Photography",easy,Holy Shiva temple where oil lamps burn continuously
Vijayapur Hill,Sunsari,Koshi,1,2500,Hill Station,"Sightseeing, Hiking, Photography",easy,Historic administrative center of the ancient Sen kings
Chatara Dham,Sunsari,Koshi,1,2500,Religious,"Pilgrimage, Sightseeing, Festival Visit",easy,Riverside religious site; host of the grand Kumbha Mela
Itahari,Sunsari,Koshi,1,2500,Cultural,"Sightseeing, Shopping, Local Food",easy,Bustling transport junction and rapidly growing commercial hub
Inaruwa,Sunsari,Koshi,1,2000,Cultural,"Sightseeing, Local Food, Shopping",easy,District headquarters situated amidst fertile agrarian Terai plains
Koshi Barrage,Sunsari,Koshi,1,2500,Landmark,"Sightseeing, Photography, Bird Watching",easy,Engineering landmark across the massive Sapta Koshi River
Madhuban,Sunsari,Koshi,1,3000,Village,"Bird Watching, Fishing, Photography",easy,Rural community specializing in wetland fishing cultures and birding
Seuti River Bank,Sunsari,Koshi,1,1500,River,"Sightseeing, Photography, Picnicking",easy,Scenic forest fringes surrounding the base of the Dharan hills
Taltalaiya,Sunsari,Koshi,1,2000,Eco Park,"Boating, Sightseeing, Photography",easy,Eco-park wetland area with boating facilities and wildlife statues
Tarahara,Sunsari,Koshi,1,2000,Cultural,"Sightseeing, Local Food, Farm Visit",easy,Noted for its agricultural research farms and rural food stalls
Basantapur,Tehrathum,Koshi,2,5000,Hill Station,"Trekking, Sightseeing, Photography",moderate,High hill station; starting point of the legendary TMJ trek
Tinjure Hill,Tehrathum,Koshi,3,12000,Viewpoint,"Trekking, Rhododendron Viewing, Photography",moderate,Part of the Tinjure-Milke-Jaljale trail containing 30+ rhododendron species
Myanglung Bazaar,Tehrathum,Koshi,1,3500,Bazaar,"Sightseeing, Local Food, Shopping",easy,"District capital named after the mythical ""cat meow"" stone"
Hyatrung Waterfall,Tehrathum,Koshi,1,3000,Waterfall,"Sightseeing, Photography, Hiking",moderate,One of the highest cascading waterfalls in Nepal
Chhatedhunga,Tehrathum,Koshi,1,2500,Landmark,"Sightseeing, Photography, Hiking",moderate,Unique geological rock formation resembling a stone umbrella
Aathrai,Tehrathum,Koshi,1,3000,Cultural,"Cultural Tour, Sightseeing, Photography",easy,Historic educational and cultural core area of eastern Limbus
Lasune Bazaar,Tehrathum,Koshi,1,2500,Bazaar,"Sightseeing, Farm Tour, Photography",easy,Quaint mountain pass settlement surrounded by organic farms
Panchakanya Pokhari,Tehrathum,Koshi,1,2500,Lake,"Sightseeing, Photography, Pilgrimage",moderate,Mystical woodland pond surrounded by local lore
Singhabahini Temple,Tehrathum,Koshi,1,2000,Religious,"Pilgrimage, Sightseeing, Photography",easy,Revered religious site within the main bazaar area
Sankranti Bazaar,Tehrathum,Koshi,1,2500,Bazaar,"Shopping, Local Food, Sightseeing",easy,Historic weekly trading post along the mid-hill highway
Chuhandanda,Tehrathum,Koshi,1,3000,Hill Station,"Sightseeing, Photography, Hiking",easy,Scenic hill station overlooking pristine river valleys
Phauda Village,Tehrathum,Koshi,1,3500,Village,"Handicraft Shopping, Cultural Tour, Photography",easy,Traditional village specializing in hand-woven Dhaka textiles
Okhre Community,Tehrathum,Koshi,2,8000,Village,"Homestay Experience, Hiking, Photography",moderate,High-altitude village adapting to eco-homestay programs
Jaljale Ridge,Tehrathum,Koshi,3,15000,Viewpoint,"Trekking, Photography, Camping",difficult,High moorland where Tehrathum meets Sankhuwasabha
Solma,Tehrathum,Koshi,2,7000,Village,"Farm Tour, Homestay Experience, Photography",easy,Model eco-agricultural village focusing on organic farming and local homestays
Chhiyangthapu,Panchthar,Koshi,3,15000,Village,"Trekking, Cultural Tour, Photography",difficult,Remote high-altitude border village near Sikkim
Phidim Bazaar,Panchthar,Koshi,1,3500,Bazaar,"Sightseeing, Local Food, Shopping",easy,Charming valley basin town; district headquarters
Sadhutar,Panchthar,Koshi,1,2500,Lake,"Sightseeing, Photography, Picnicking",easy,Scenic pond reflecting stunning views of Mount Kanchenjunga
Timbu Pokhari (Panchthar Side),Panchthar,Koshi,2,8000,Lake,"Trekking, Photography, Bird Watching",moderate,High-altitude wetland shared across borders
Miklafajung Hill,Panchthar,Koshi,1,4000,Viewpoint,"Sunrise Viewing, Photography, Hiking",moderate,Epic viewpoint for viewing both the plains and high Himalayas
Laba Kuti,Panchthar,Koshi,1,2500,Heritage,"Sightseeing, Photography, Cultural Tour",easy,Historical clearing associated with old regional rulers
Yashok Bazaar,Panchthar,Koshi,1,3000,Bazaar,"Festival Visit, Sightseeing, Local Food",easy,Cultural center famous for the unique Kumayak festivals
Kumayak Temple,Panchthar,Koshi,1,2500,Religious,"Pilgrimage, Sightseeing, Photography",moderate,Sacred hilltop site where non-animal sacrifices are made
Saranmati River Banks,Panchthar,Koshi,1,2500,River,"Sightseeing, Fishing, Photography",easy,Lush agricultural valley flatlands
Oyam Village,Panchthar,Koshi,2,7000,Village,"Farm Tour, Cultural Tour, Photography",moderate,Traditional village offering deep sub-alpine agricultural insights
Amarpur,Panchthar,Koshi,1,4000,Village,"Sightseeing, Photography, Walking",easy,Warm river-valley basin near the Tamor hydro installations
Mauwa,Panchthar,Koshi,1,3500,Village,"Sightseeing, Cultural Tour, Photography",easy,Charming historical village containing old trail rest-houses
Rabi Bazaar,Panchthar,Koshi,1,3000,Bazaar,"Shopping, Local Food, Sightseeing",easy,Major western commercial gateway hub for the district
Saurini,Panchthar,Koshi,1,5000,Village,"Farm Tour, Photography, Cultural Tour",easy,Terraced agricultural village rich in cardamoms and local dairy products
Limba Village,Panchthar,Koshi,2,6000,Village,"Dance Performance, Cultural Tour, Photography",easy,Focal point for indigenous Chabrung drum-dance research
Halesi Mahadev Cave,Khotang,Koshi,2,5000,Religious,"Pilgrimage, Cave Exploration, Hiking",moderate,"""Pashupatinath of the East""; sacred to three religions"
Diktel Bazaar,Khotang,Koshi,2,8000,Cultural,"Sightseeing, Local Culture, Shopping",easy,The primary high-street administrative and cultural town
Baraha Pokhari,Khotang,Koshi,1,3000,Lake,"Sightseeing, Pilgrimage, Photography",moderate,Sacred historic lake that legend says changes color naturally
Tuwachung Jayachung,Khotang,Koshi,1,2500,Heritage,"Sightseeing, Cultural Tour, Photography",easy,Historic archaeological cradle of Kirati civilization
Rupakot Hill,Khotang,Koshi,1,4500,Hill Station,"Trekking, Photography, Hiking",moderate,"Lush, green panoramic ridge line ideal for trekking"
Bhagawati Temple,Khotang,Koshi,1,2500,Religious,"Pilgrimage, Sightseeing, Photography",easy,Revered Durga shrine overlooking the local valleys
Lamidanda,Khotang,Koshi,1,4000,Hill Station,"Sightseeing, Flight Spotting, Photography",easy,Hill station featuring a scenic high-ridge domestic airstrip
Aiselukharka,Khotang,Koshi,1,3500,Cultural,"Sightseeing, Farm Tour, Local Food",easy,Major agricultural market town known for organic produce
Chisapani Garhi,Khotang,Koshi,1,2500,Heritage,"Sightseeing, Hiking, Photography",moderate,Historic fortification post used during old unification wars
Kakani Hill (Khotang),Khotang,Koshi,1,3000,Hill Station,"Hiking, Photography, Bird Watching",moderate,Scenic viewpoint forest ridge rich in biodiversity
Mahadevsthan Village,Khotang,Koshi,1,4000,Village,"Homestay Experience, Pilgrimage, Cultural Tour",easy,The cultural homestay cluster enveloping the Halesi caves
Buipa,Khotang,Koshi,1,3500,Cultural,"Sightseeing, Cultural Tour, Photography",easy,Key intersection town blending Rai and Sherpa high-hill lifestyles
Baksila Bazaar,Khotang,Koshi,1,3000,Bazaar,"Festival Visit, Sightseeing, Local Food",easy,Host of major cultural Sakela festival gatherings
Sapteshwor,Khotang,Koshi,1,3500,Village,"Sightseeing, Photography, Hiking",moderate,Remote village harboring hidden cascades and river shrines
Khartamchha,Khotang,Koshi,1,4000,Village,"Farm Tour, Cultural Tour, Photography",moderate,Indigenous settlement practicing ancient terraced farming techniques
Bhojpur Bazaar,Bhojpur,Koshi,1,4500,Bazaar,"Shopping, Sightseeing, Local Food",easy,World-famous for its traditional hand-crafted Bhojpure Khukuri blades
Taksar,Bhojpur,Koshi,1,3000,Heritage,"Sightseeing, Handicraft Shopping, Photography",easy,Historic town settled by Newari metal-smiths; famous for brassware
Maiyung Danda,Bhojpur,Koshi,4,18000,Viewpoint,"Trekking, Photography, Camping",difficult,High alpine pasture ridge along the majestic Mundhum Trail
Salpa Pokhari,Bhojpur,Koshi,5,22000,Lake,"Trekking, Pilgrimage, Camping",difficult,"Sacred high-altitude lake at 3,450m; deeply spiritual for shamans"
Silichung Peak,Bhojpur,Koshi,4,20000,Viewpoint,"Trekking, Mountain Viewing, Photography",difficult,Commanding viewpoint looking out toward Everest and Makalu
Dingla,Bhojpur,Koshi,1,3000,Cultural,"Sightseeing, Cultural Tour, Photography",easy,Historic town home to Nepal's first community-level Sanskrit school
Suntale Hill,Bhojpur,Koshi,1,3000,Hill Station,"Sightseeing, Hiking, Photography",easy,Scenic hill station covered in dense pine and orange groves
Shadananda Municipality,Bhojpur,Koshi,1,2500,Cultural,"Sightseeing, Cultural Tour, Photography",easy,Cultural heartland named after the social reformer Bal Guru Shadananda
Ghodaretar,Bhojpur,Koshi,1,2500,Bazaar,"Shopping, Local Food, Sightseeing",easy,Bustling lower-altitude weekly community trading market
Chinnamasta Temple (Bhojpur),Bhojpur,Koshi,1,2000,Religious,"Pilgrimage, Sightseeing, Photography",easy,Revered local hilltop religious temple
Hatuwagadhi,Bhojpur,Koshi,1,2500,Heritage,"Sightseeing, Hiking, Photography",moderate,Ancient stone fortification ruins of the historical Kirat kings
Pikhuwa Waterfall,Bhojpur,Koshi,1,2500,Waterfall,"Sightseeing, Photography, Picnicking",easy,Scenic natural waterfall and popular weekend picnic area
Aamchwok,Bhojpur,Koshi,2,6000,Village,"Homestay Experience, Hiking, Photography",moderate,Charming mountain ridge community developing localized homestays
Kulung Village,Bhojpur,Koshi,1,4000,Village,"Cultural Tour, Handicraft Shopping, Photography",easy,Traditional home of the Rai sub-group; unique dialect and textiles
Tiwari Bhanjyang,Bhojpur,Koshi,1,3000,Village,"Sightseeing, Local Food, Photography",easy,Key trail village along the mid-hill highway path
Khandbari,Sankhuwasabha,Koshi,1,6000,Cultural,"Sightseeing, Local Food, Trekking Prep",easy,District capital; bustling ridge town acting as the gateway to Mount Makalu
Tumlingtar,Sankhuwasabha,Koshi,1,8000,Cultural,"Sightseeing, Flight Spotting, Photography",easy,Deep plateau river valley housing a major regional airport
Hedangna,Sankhuwasabha,Koshi,5,25000,Village,"Trekking, Photography, Gorge Viewing",difficult,Perched village offering dramatic views over the deep Arun River Gorge
Num Village,Sankhuwasabha,Koshi,6,28000,Village,"Trekking, Photography, Camping",difficult,The steep drop-off trekking hub heading into the Makalu core
