destination_id,old_destination_id,old_destination_id,destination_name,district,province,region,category,travel_type,activities,best_season,estimated_budget_npr,average_duration_days,difficulty_level,family_friendly,latitude,longitude,average_rating,review_count,popularity_score,description
12,12,D012,Patan Durbar Square,Lalitpur,Bagmati,Kathmandu Valley,Heritage,"Cultural,Heritage,Family","Sightseeing,Museum Visit,Photography",Sep-Apr,1200,1,Easy,Yes,27.6727,85.325,4.7,8600,89.0,City of fine arts renowned for ancient temples
13,13,D013,Nagarkot,Bhaktapur,Bagmati,Kathmandu Valley,Hill Station,"Nature,Family,Adventure","Sunrise Viewing,Hiking,Photography",Oct-Apr,3500,1,Easy,Yes,27.7172,85.5202,4.5,7200,87.0,Popular hill station near Kathmandu offering breathtaking Himalayan sunrise views including Everest on clear days.
14,14,D014,Everest Base Camp,Solukhumbu,Koshi,Eastern,Trekking,"Adventure,Nature","Trekking,Mountaineering,Camping",Mar-May,80000,14,Difficult,No,28.0026,86.8528,4.9,8900,98.0,World-renowned trek to the foot of Mount Everest through Sherpa villages and dramatic high-altitude landscapes.
15,15,D015,Namche Bazaar,Solukhumbu,Koshi,Eastern,Trekking,"Adventure,Cultural,Nature","Trekking,Shopping,Acclimatization",Mar-May,15000,2,Moderate,No,27.8069,86.714,4.7,6700,89.0,Vibrant Sherpa trading town and gateway to Everest
16,16,D016,Rara Lake,Mugu,Karnali,Mid-Western,Lake,"Nature,Adventure","Trekking,Boating,Camping",Sep-Nov,30000,7,Moderate,No,29.529,82.084,4.8,2100,80.0,Nepal's largest lake
17,17,D017,Gosaikunda,Rasuwa,Bagmati,Central,Lake,"Religious,Adventure,Nature","Trekking,Pilgrimage,Camping",May-Oct,18000,5,Moderate,No,28.082,85.411,4.6,2900,82.0,Sacred alpine lake revered by Hindus and Buddhists
18,18,D018,Langtang Valley,Rasuwa,Bagmati,Central,Trekking,"Adventure,Nature,Cultural","Trekking,Camping,Cultural Tour",Mar-May,25000,7,Moderate,No,28.214,85.538,4.7,3400,84.0,Scenic Himalayan valley near Kathmandu offering glaciers
19,19,D019,Mustang (Upper Mustang),Mustang,Gandaki,Western,Cultural,"Adventure,Cultural,Nature","Trekking,Cultural Tour,Photography",Jun-Sep,60000,10,Difficult,No,29.187,83.961,4.8,1800,83.0,Remote trans-Himalayan kingdom with arid landscapes
20,20,D020,Bandipur,Tanahun,Gandaki,Western,Hill Station,"Cultural,Family,Nature","Sightseeing,Hiking,Photography",Oct-Apr,4000,2,Easy,Yes,27.9342,84.415,4.7,4200,86.0,Charming hilltop Newar town preserving traditional architecture with panoramic Himalayan and valley views.
21,21,D021,Ilam Tea Gardens,Ilam,Koshi,Eastern,Hill Station,"Nature,Family,Cultural","Tea Garden Tour,Hiking,Photography",Sep-Apr,5000,2,Easy,Yes,26.909,87.927,4.6,3100,81.0,Lush rolling tea estates in eastern Nepal offering scenic walks and insight into Nepal's tea production heritage.
22,22,D022,Pathibhara Devi Temple,Taplejung,Koshi,Eastern,Religious,"Religious,Adventure,Nature","Pilgrimage,Trekking,Photography",Mar-May,8000,3,Moderate,Yes,27.345,87.708,4.7,2600,79.0,Revered Hindu temple atop a scenic ridge in eastern Nepal
23,23,D023,Kanchenjunga Base Camp,Taplejung,Koshi,Eastern,Trekking,"Adventure,Nature","Trekking,Camping,Mountaineering",Mar-May,55000,18,Difficult,No,27.7026,88.1475,4.8,1200,78.0,Remote trek to the world's third-highest peak through pristine forests and traditional Limbu villages.
24,24,D024,Bardia National Park,Bardiya,Lumbini,Far-Western,National Park,"Nature,Adventure,Family","Jungle Safari,Canoeing,Bird Watching",Oct-Mar,9000,3,Easy,Yes,28.35,81.33,4.7,3800,85.0,Nepal's largest wilderness national park
25,25,D025,Shuklaphanta National Park,Kanchanpur,Sudurpashchim,Far-Western,National Park,"Nature,Adventure","Jungle Safari,Bird Watching,Wildlife Photography",Oct-Mar,8500,2,Easy,Yes,28.85,80.18,4.5,1100,72.0,Grassland reserve in the far west famous for swamp deer herds and rich biodiversity in the Terai region.
26,26,D026,Khaptad National Park,Bajhang,Sudurpashchim,Far-Western,National Park,"Nature,Religious,Adventure","Trekking,Pilgrimage,Camping",Apr-Oct,12000,5,Moderate,No,29.35,81.15,4.4,650,68.0,Tranquil plateau national park blending alpine meadows
27,27,D027,Tilicho Lake,Manang,Gandaki,Western,Lake,"Adventure,Nature","Trekking,Camping,Photography",Sep-Nov,40000,10,Difficult,No,28.685,83.827,4.8,1900,81.0,One of the world's highest lakes
28,28,D028,Manang Valley,Manang,Gandaki,Western,Trekking,"Adventure,Cultural,Nature","Trekking,Acclimatization,Cultural Tour",Mar-May,22000,4,Moderate,No,28.665,84.019,4.6,2300,80.0,Picturesque high-altitude valley along the Annapurna Circuit known for Tibetan-influenced culture and dramatic scenery.
29,29,D029,Thorong La Pass,Manang,Gandaki,Western,Trekking,"Adventure,Nature","Trekking,Mountaineering",Mar-May,35000,3,Difficult,No,28.792,83.932,4.9,2700,86.0,High mountain pass on the Annapurna Circuit
30,30,D030,Dhulikhel,Kavrepalanchok,Bagmati,Central,Hill Station,"Nature,Family,Adventure","Sunrise Viewing,Hiking,Photography",Sep-Apr,3000,1,Easy,Yes,27.621,85.546,4.5,4600,84.0,Quiet hill town near Kathmandu offering stunning Himalayan panoramas and pleasant short hiking trails.
31,31,D031,Namobuddha,Kavrepalanchok,Bagmati,Central,Religious,"Religious,Cultural,Family","Pilgrimage,Monastery Tour,Hiking",Sep-Apr,2500,1,Easy,Yes,27.578,85.568,4.6,2200,75.0,Sacred Buddhist pilgrimage site marking where Buddha sacrificed himself to a starving tigress
32,32,D032,Janakpur (Janaki Mandir),Dhanusha,Madhesh,Central,Religious,"Religious,Cultural,Family","Pilgrimage,Sightseeing,Cultural Tour",Oct-Mar,4000,2,Easy,Yes,26.7288,85.9252,4.5,3900,82.0,Sacred city and birthplace of Sita
33,33,D033,Halesi Mahadev,Khotang,Koshi,Eastern,Religious,"Religious,Adventure,Cultural","Pilgrimage,Cave Exploration,Hiking",Sep-Apr,5000,2,Moderate,Yes,27.167,86.483,4.5,1300,70.0,Sacred limestone cave temple revered by both Hindus and Buddhists
34,34,D034,Pokhara Cave (Mahendra Gupha),Kaski,Gandaki,Western,Cave,"Nature,Family,Adventure","Cave Exploration,Photography",Sep-May,1000,1,Easy,Yes,28.239,83.965,4.2,3300,73.0,Limestone cave near Pokhara featuring stalactite and stalagmite formations within a serene natural setting.
35,35,D035,Davis Falls,Kaski,Gandaki,Western,Waterfall,"Nature,Family","Sightseeing,Photography",Sep-May,800,1,Easy,Yes,28.201,83.956,4.3,5400,79.0,Distinctive waterfall in Pokhara that vanishes underground into a mysterious gorge
36,36,D036,Begnas Lake,Kaski,Gandaki,Western,Lake,"Nature,Family,Adventure","Boating,Fishing,Hiking",Oct-Mar,2500,1,Easy,Yes,28.183,84.042,4.5,2800,77.0,Quieter alternative to Phewa Lake
37,37,D037,Muktinath Temple,Mustang,Gandaki,Western,Religious,"Religious,Adventure,Cultural","Pilgrimage,Trekking,Photography",Mar-Nov,20000,4,Moderate,Yes,28.817,83.872,4.8,4100,87.0,Sacred temple revered by both Hindus and Buddhists
38,38,D038,Sundarijal,Kathmandu,Bagmati,Kathmandu Valley,Waterfall,"Nature,Family,Adventure","Hiking,Photography,Picnicking",Sep-Apr,1500,1,Easy,Yes,27.799,85.44,4.3,2600,74.0,Scenic waterfall and hiking gateway on the edge of Kathmandu Valley leading toward Shivapuri National Park.
39,39,D039,Shivapuri National Park,Kathmandu,Bagmati,Kathmandu Valley,National Park,"Nature,Adventure,Family","Hiking,Bird Watching,Camping",Oct-Apr,2000,1,Easy,Yes,27.8167,85.4,4.4,1900,76.0,Forested national park bordering Kathmandu
40,40,D040,Daman,Makwanpur,Bagmati,Central,Hill Station,"Nature,Family","Sunrise Viewing,Photography,Hiking",Oct-Mar,2500,1,Easy,Yes,27.599,85.093,4.3,1100,68.0,Elevated hill station along the Tribhuvan Highway offering one of the widest Himalayan panoramas in Nepal.
41,41,D041,Manakamana Temple,Gorkha,Gandaki,Western,Religious,"Religious,Cultural,Family","Pilgrimage,Cable Car Ride,Photography",Sep-Apr,3000,1,Easy,Yes,27.961,84.619,4.6,5200,83.0,Hilltop temple dedicated to a wish-fulfilling goddess
42,42,D042,Gorkha Durbar,Gorkha,Gandaki,Western,Heritage,"Cultural,Heritage,Religious","Sightseeing,Pilgrimage,Photography",Sep-Apr,2000,1,Moderate,Yes,28.0,84.626,4.4,1400,71.0,Historic hilltop palace and birthplace of Nepal's unification
43,43,D043,Lake Phoksundo,Dolpa,Karnali,Mid-Western,Lake,"Nature,Adventure","Trekking,Camping,Photography",May-Oct,45000,9,Difficult,No,29.185,82.927,4.8,800,77.0,Stunning turquoise glacial lake within Shey Phoksundo National Park
44,44,D044,Tansen,Palpa,Lumbini,Western,Hill Station,"Cultural,Nature,Family","Sightseeing,Hiking,Photography",Sep-Apr,3000,2,Easy,Yes,27.8667,83.55,4.5,1700,74.0,Historic Newar hill town known for its palace remains
45,45,D045,Khokana,Lalitpur,Bagmati,Kathmandu Valley,Cultural,"Cultural,Heritage,Family","Sightseeing,Cultural Tour,Photography",Sep-Apr,1000,1,Easy,Yes,27.645,85.298,4.2,600,62.0,Traditional Newar village renowned for mustard oil production and well-preserved cultural heritage.
46,46,D046,Panauti,Kavrepalanchok,Bagmati,Central,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Festival Visit",Sep-Apr,1500,1,Easy,Yes,27.587,85.518,4.4,900,69.0,Ancient Newar town at the confluence of two rivers
47,47,D047,Ghandruk,Kaski,Gandaki,Western,Trekking,"Adventure,Cultural,Nature","Trekking,Cultural Tour,Photography",Oct-Apr,12000,3,Moderate,Yes,28.379,83.812,4.7,3600,85.0,Picturesque Gurung village on the Annapurna trail offering rich culture and close-up Himalayan mountain views.
48,48,D048,Pikey Peak,Solukhumbu,Koshi,Eastern,Trekking,"Adventure,Nature","Trekking,Camping,Sunrise Viewing",Mar-May,18000,5,Moderate,No,27.467,86.483,4.6,950,75.0,Lesser-known viewpoint trek offering one of the widest Himalayan panoramas including Everest
49,49,D049,Dhampus,Kaski,Gandaki,Western,Hill Station,"Nature,Family,Adventure","Hiking,Photography,Village Tour",Oct-Apr,6000,2,Easy,Yes,28.327,83.85,4.5,1600,76.0,Accessible hillside village near Pokhara offering close mountain views and an easy introduction to Himalayan trekking.
50,50,D050,Kakani,Nuwakot,Bagmati,Central,Hill Station,"Nature,Family","Sightseeing,Hiking,Photography",Sep-Apr,2000,1,Easy,Yes,27.817,85.233,4.2,800,65.0,Quiet hill resort near Kathmandu known for terraced landscapes and clear views of the Ganesh Himal range.
51,51,D051,Khotang Diktel,Khotang,Koshi,Eastern,Cultural,"Culture,Family","Sightseeing,Local Culture,Photography",Oct-Apr,8000,2,Easy,Yes,27.2098,86.7965,4.4,580,78.0,"District headquarters of Khotang known for its peaceful hills, local Rai culture, and scenic landscapes."
52,52,D052,Bhulbhule,Khotang,Koshi,Eastern,Village,"Nature,Culture","Village Walk,Hiking,Photography",Oct-Apr,7000,2,Easy,Yes,27.175,86.762,4.3,180,66.0,"A quiet rural village surrounded by green hills, offering traditional lifestyles and beautiful countryside views."
53,53,D053,Nerpa Village,Khotang,Koshi,Eastern,Village,"Culture,Nature","Cultural Tour,Hiking,Photography",Oct-Apr,7000,2,Easy,Yes,27.247,86.832,4.4,165,68.0,"A traditional Rai settlement famous for its rich heritage, terraced farms, and welcoming local community."
54,54,D054,Bhedetar,Dhankuta,Koshi,Eastern,Hill Station,"Nature,Adventure,Family","Sightseeing,Paragliding,Photography",Oct-Apr,5000,2,Easy,Yes,26.8374,87.2915,4.7,5200,92.0,"A popular hill station offering cool weather, panoramic mountain views, and the famous Charles Point viewpoint."
55,55,D055,Hile,Dhankuta,Koshi,Eastern,Hill Station,"Nature,Family","Sightseeing,Local Food,Photography",Oct-Apr,4500,1,Easy,Yes,26.9315,87.3337,4.5,1900,84.0,"A scenic stop known for its cool climate, beautiful landscapes, and locally produced churpi cheese."
56,56,D056,Koshi Tappu Wildlife Reserve,Sunsari/Saptari/Udayapur,Koshi,Eastern,Wildlife Reserve,"Nature,Adventure","Bird Watching,Wildlife Safari,Photography",Nov-Mar,12000,2,Easy,Yes,26.648,86.975,4.8,3600,94.0,"Nepal's premier wetland reserve famous for migratory birds, wild water buffalo, and rich biodiversity."
57,57,D057,Shree Antu,Ilam,Koshi,Eastern,Viewpoint,"Nature,Family","Sunrise Viewing,Hiking,Photography",Oct-Apr,7000,2,Easy,Yes,26.875,88.02,4.8,4100,91.0,A beautiful hilltop destination renowned for spectacular sunrise views and surrounding tea gardens.
58,58,D058,Makalu Barun National Park,Sankhuwasabha,Koshi,Eastern,National Park,"Adventure,Nature","Trekking,Camping,Wildlife Viewing",Mar-May,65000,14,Difficult,No,27.7,87.15,4.8,1450,90.0,"A remote protected area featuring Mount Makalu, diverse wildlife, alpine forests, and challenging trekking routes."
59,59,D059,Sagarmatha National Park,Solukhumbu,Koshi,Eastern,National Park,"Adventure,Nature","Trekking,Mountain Viewing,Photography",Mar-May,85000,14,Difficult,No,27.932,86.808,5.0,12000,100.0,"UNESCO World Heritage Site home to Mount Everest, glaciers, Sherpa culture, and the famous Everest Base Camp trail."
60,60,D061,Suketar,Taplejung,Koshi,Eastern,Village,"Adventure,Cultural","Trekking,Village Walk,Homestay Experience","Mar-May,Sep-Nov",9000,2,Moderate,Yes,27.353,87.7,4.4,420,68.0,Airport hub and gateway village with community homestays
61,61,D062,Syamdo Lake,Taplejung,Koshi,Eastern,Lake,"Adventure,Nature","Trekking,Camping,Photography",Sep-Nov,50000,12,Difficult,No,27.65,87.95,4.6,80,62.0,"Newly explored alpine lake at 5,200m in Faktanglung"
62,62,D063,Fungling Bazaar,Taplejung,Koshi,Eastern,Cultural,"Cultural,Family","Sightseeing,Local Culture,Shopping",Sep-May,6000,1,Easy,Yes,27.337,87.69,4.3,350,65.0,The primary cultural and commercial district headquarters
63,63,D064,Kanchenjunga Base Camp (Pangpema),Taplejung,Koshi,Eastern,Trekking,"Adventure,Nature","Trekking,Camping,Mountaineering",Mar-May,70000,18,Difficult,No,27.793,88.147,4.9,600,82.0,High-altitude extreme north alpine site
64,64,D065,Olangchung Gola,Taplejung,Koshi,Eastern,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography","Mar-May,Sep-Nov",40000,8,Difficult,No,27.728,87.926,4.5,110,70.0,"Remote, historic Walung/Sherpa trade village near Tibet border"
65,65,D066,Timbung Pokhari,Taplejung,Koshi,Eastern,Lake,"Adventure,Nature","Trekking,Camping,Bird Watching",Sep-Nov,42000,9,Difficult,No,27.6,87.92,4.6,70,64.0,"Sacred high-altitude lake cluster, rich biodiversity"
66,66,D067,Ghuna Village,Taplejung,Koshi,Eastern,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography","Mar-May,Sep-Nov",35000,7,Difficult,No,27.6,87.88,4.4,95,66.0,Traditional Sherpa settlement along the Kanchenjunga trail
67,67,D068,Amjilosa,Taplejung,Koshi,Eastern,Village,"Adventure,Nature","Trekking,Homestay Experience,Photography","Mar-May,Sep-Nov",30000,6,Moderate,No,27.5,87.85,4.4,130,67.0,Charming river-valley trekking stop with local homestay potential
68,68,D069,Gyabla Village,Taplejung,Koshi,Eastern,Village,"Adventure,Cultural","Trekking,Cultural Tour,Photography","Mar-May,Sep-Nov",32000,6,Moderate,No,27.55,87.86,4.3,85,63.0,Dense high-forest Tibetan-Buddhist cultural settlement
69,69,D070,Sinuwa Village,Taplejung,Koshi,Eastern,Village,"Adventure,Cultural","Trekking,Village Walk,Photography","Mar-May,Sep-Nov",28000,5,Moderate,No,27.49,87.83,4.3,75,60.0,Lower-altitude agricultural and cultural village
70,70,D071,Mitlung,Taplejung,Koshi,Eastern,Village,"Adventure,Nature","Trekking,Photography,River Walk","Mar-May,Sep-Nov",20000,3,Moderate,Yes,27.42,87.78,4.3,95,64.0,Scenic river basin village on the Tamor River
71,71,D072,Chhiruwa,Taplejung,Koshi,Eastern,Village,"Cultural,Nature","Cultural Tour,Farming Tour,Photography","Mar-May,Sep-Nov",18000,3,Moderate,Yes,27.4,87.8,4.2,60,58.0,Limbu cultural settlement featuring cardamom farming
72,72,D073,Phale Village,Taplejung,Koshi,Eastern,Village,"Cultural,Adventure","Trekking,Cultural Tour,Handicraft Shopping","Mar-May,Sep-Nov",25000,4,Moderate,No,27.58,87.84,4.4,70,61.0,Tibetan refugee settlement known for local hand-woven rugs
73,73,D074,Lelep,Taplejung,Koshi,Eastern,Cultural,"Adventure,Cultural","Trekking,Conservation Office Visit,Photography","Mar-May,Sep-Nov",22000,3,Moderate,No,27.43,87.77,4.3,90,62.0,Headquarters of the Kanchenjunga Conservation Area
74,74,D075,Antu Danda,Ilam,Koshi,Eastern,Viewpoint,"Nature,Family","Sunrise Viewing,Photography,Homestay Experience",Oct-Apr,6000,2,Easy,Yes,26.875,88.02,4.8,4100,91.0,Famous for epic sunrises over Kanchenjunga; premier homestays
75,75,D076,Kanyam Tea Estate,Ilam,Koshi,Eastern,Tea Estate,"Nature,Family,Cultural","Tea Garden Tour,Photography,Walking",Sep-Apr,4000,1,Easy,Yes,26.85,88.05,4.7,3200,88.0,"The most photographed, sprawling green tea hills in East Nepal"
76,76,D077,Mai Pokhari,Ilam,Koshi,Eastern,Lake,"Nature,Religious,Family","Sightseeing,Pilgrimage,Photography",Sep-Apr,3500,1,Easy,Yes,26.93,87.95,4.6,2800,84.0,Sacred nine-cornered star lake; Ramsar wetland site
77,77,D078,Sandakphu,Ilam,Koshi,Eastern,Viewpoint,"Adventure,Nature","Trekking,Sunrise Viewing,Photography",Oct-Apr,15000,4,Moderate,No,27.05,88.1,4.6,900,78.0,"Highest ridge point at 3,636m sharing a border with India"
78,78,D079,Fikkal Bazaar,Ilam,Koshi,Eastern,Bazaar,"Cultural,Family","Shopping,Local Food,Sightseeing",Sep-Apr,2500,1,Easy,Yes,26.82,88.07,4.3,600,65.0,"Lively, multi-cultural trade hub for tea, cardamom, and ginger"
79,79,D080,Chintapu,Ilam,Koshi,Eastern,Hill Station,"Nature,Family","Hiking,Photography,Herb Walk",Sep-Apr,3000,1,Easy,Yes,26.9,88.0,4.3,420,62.0,Rich natural hill famous for herbs and rhododendrons
80,80,D081,Gajurmukhi,Ilam,Koshi,Eastern,Religious,"Religious,Cultural","Pilgrimage,Cave Exploration,Photography",Sep-Apr,2500,1,Moderate,Yes,26.78,87.93,4.4,380,64.0,Religious riverside shrine cave built into steep cliffs
81,81,D082,Siddhi Thumka,Ilam,Koshi,Eastern,Hill Station,"Nature,Family","Sunset Viewing,Photography,Picnicking",Sep-Apr,2800,1,Easy,Yes,26.86,87.98,4.4,350,63.0,Hill station renowned for panoramic sunset views
82,82,D083,Todke Waterfall,Ilam,Koshi,Eastern,Waterfall,"Nature,Family","Sightseeing,Photography,Picnicking",Sep-May,2000,1,Easy,Yes,26.8,87.85,4.5,620,70.0,"Massive, cascading 85-meter natural waterfall"
83,83,D084,Mangmalung,Ilam,Koshi,Eastern,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Sep-Apr,3000,1,Easy,Yes,26.95,87.9,4.3,290,60.0,Ancient Kirat religious site with historic stone structures
84,84,D085,Ilam Bazaar,Ilam,Koshi,Eastern,Cultural,"Cultural,Family","Sightseeing,Shopping,Local Food",Sep-Apr,3500,1,Easy,Yes,26.909,87.927,4.6,1800,80.0,Historic hill town with cobblestone pathways and tea shops
85,85,D086,Larumba,Ilam,Koshi,Eastern,Religious,"Religious,Cultural","Pilgrimage,Cultural Observation,Photography",Sep-Apr,2500,1,Easy,Yes,26.92,87.99,4.3,210,58.0,Spiritual epicenter of the Kirat religion/Mangsebung
86,86,D087,Pashupatinagar,Ilam,Koshi,Eastern,Cultural,"Cultural,Family","Sightseeing,Local Food,Shopping",Sep-Apr,4000,1,Easy,Yes,26.86,88.07,4.4,540,68.0,Border town blending Nepali and Darjeeling cultures
87,87,D088,Hanspokhari,Ilam,Koshi,Eastern,Lake,"Nature,Family","Sightseeing,Photography,Picnicking",Sep-Apr,2000,1,Easy,Yes,26.8,87.92,4.2,180,55.0,Scenic natural pond along the Mechi Highway corridor
88,88,D089,Shanti Thumka,Ilam,Koshi,Eastern,Viewpoint,"Nature,Family","Sightseeing,Photography,Farm Tour",Sep-Apr,2500,1,Easy,Yes,26.87,87.96,4.2,160,54.0,Quiet viewpoint ridge ideal for agro-tourism data points
89,89,D091,Namje Village,Dhankuta,Koshi,Eastern,Village,"Cultural,Family","Cultural Tour,Dance Performance,Homestay Experience",Oct-Apr,6000,2,Easy,Yes,26.95,87.3,4.7,1100,82.0,World-renowned Magar community homestay hub; Hurra dance
90,90,D092,Namaste Jharna,Dhankuta,Koshi,Eastern,Waterfall,"Nature,Family","Sightseeing,Photography,Picnicking",Sep-May,2500,1,Moderate,Yes,26.93,87.27,4.5,480,68.0,Imposing 80-meter waterfall located in Simsuwa
91,91,D093,Hile Bazaar,Dhankuta,Koshi,Eastern,Bazaar,"Nature,Family","Sightseeing,Local Food,Photography",Oct-Apr,4500,1,Easy,Yes,26.9315,87.3337,4.5,1900,84.0,Famous high-ridge town known for Tongba and cold climates
92,92,D094,Pakhribas,Dhankuta,Koshi,Eastern,Cultural,"Nature,Family","Sightseeing,Picnicking,Farm Tour",Sep-Apr,3000,1,Easy,Yes,26.96,87.34,4.3,320,60.0,Agricultural research hub with pine forests and picnic grounds
93,93,D095,Chintang Devi Temple (Jalpa Devi),Dhankuta,Koshi,Eastern,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Sep-Apr,2500,1,Easy,Yes,26.9,87.31,4.4,350,62.0,Deeply spiritual Kirat and Hindu shrine
94,94,D096,Dhankuta Bazaar,Dhankuta,Koshi,Eastern,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Local Food",Sep-Apr,2500,1,Easy,Yes,26.9847,87.3387,4.5,900,70.0,Historic Newari-style architecture and orange orchards
95,95,D097,Rajarani Lake (Rani Pokhari),Dhankuta,Koshi,Eastern,Lake,"Nature,Family","Boating,Photography,Picnicking",Sep-Apr,2000,1,Easy,Yes,27.0,87.36,4.3,210,58.0,Serene wetland valley perfect for canoeing
96,96,D098,Danje Hill,Dhankuta,Koshi,Eastern,Viewpoint,"Adventure,Nature","Hiking,Photography,Mountain Viewing",Oct-Apr,3500,1,Moderate,No,27.02,87.2,4.3,150,56.0,Lesser-known high ridge trail offering views of Makalu
97,97,D099,Hattikharka,Dhankuta,Koshi,Eastern,Village,"Cultural,Family","Village Walk,Local Culture,Photography",Oct-Apr,3500,1,Easy,Yes,26.88,87.28,4.2,190,55.0,Indigenous village experiencing a surge in domestic weekend tourism
98,98,D100,Mulghat,Dhankuta,Koshi,Eastern,River,"Adventure,Nature","Rafting,Photography,Fishing",Sep-Apr,4000,1,Moderate,Yes,26.97,87.45,4.3,170,57.0,Warm riverside hub along the Tamor River; rafting launching point
99,99,D101,Muga Village,Dhankuta,Koshi,Eastern,Heritage,"Cultural,Heritage","Sightseeing,Photography,Cultural Tour",Sep-Apr,2500,1,Easy,Yes,26.92,87.36,4.2,120,52.0,Historic ancestral village with traditional estate architecture
100,100,D102,Bishranti Temple,Dhankuta,Koshi,Eastern,Religious,"Religious,Cultural","Pilgrimage,Sightseeing,Photography",Sep-Apr,2000,1,Easy,Yes,26.95,87.42,4.2,110,51.0,Spiritual elderly home and temple complex on the Tamor bank
101,101,D103,Sankuwa Sabrag,Dhankuta,Koshi,Eastern,Village,"Cultural,Nature","Farm Tour,Cultural Tour,Photography",Sep-Apr,3000,1,Easy,Yes,26.93,87.38,4.1,95,49.0,Rural community node featuring rich agricultural tourism
102,102,D104,Jorpatali,Dhankuta,Koshi,Eastern,Viewpoint,"Nature,Family","Picnicking,Photography,Hiking",Sep-Apr,2500,1,Easy,Yes,26.91,87.33,4.1,85,48.0,Scenic rest stop surrounded by dense mid-hill pine trees
103,103,D105,Koshi Tappu Wildlife Reserve,Sunsari,Koshi,Eastern,Wildlife Reserve,"Nature,Adventure","Bird Watching,Wildlife Safari,Photography",Nov-Mar,12000,2,Easy,Yes,26.648,86.975,4.8,3600,94.0,Ramsar wetland; habitat of the rare Wild Water Buffalo
